Name,Timestamp,Time Delay (s),Number Entered
nived,2025-08-02 13:37:29,1754141849.81,4
nived,2025-08-02 13:37:31,1.34,5
nived,2025-08-02 13:37:32,0.99,2
nived,2025-08-02 13:37:33,1.0,9
nived,2025-08-02 13:37:34,0.94,5
nived,2025-08-02 13:37:34,0.8,2
nived,2025-08-02 13:37:35,0.84,6
nived,2025-08-02 13:37:36,0.83,4
nived,2025-08-02 13:37:39,2.45,4
nived,2025-08-02 13:37:40,1.41,8
nived,2025-08-02 13:37:41,0.84,5
nived,2025-08-02 13:37:42,0.83,2
nived,2025-08-02 13:37:44,1.95,9
nived,2025-08-02 13:37:46,2.15,4
nived,2025-08-02 13:37:47,0.87,5
nived,2025-08-02 13:37:48,1.75,6
nived,2025-08-02 13:37:49,0.8,4
nived,2025-08-02 13:37:50,0.76,3
nived,2025-08-02 13:37:51,0.77,6
nived,2025-08-02 13:37:51,0.83,3
nived,2025-08-02 13:37:53,1.28,6
nived,2025-08-02 13:37:54,0.92,7
nived,2025-08-02 13:37:56,2.23,3
nived,2025-08-02 13:37:57,0.96,8
nived,2025-08-02 13:38:00,3.05,8
nived,2025-08-02 13:38:01,1.02,1
nived,2025-08-02 13:38:04,2.86,3
nived,2025-08-02 13:38:06,2.22,8
nived,2025-08-02 13:38:07,0.91,9
nived,2025-08-02 13:38:08,1.15,7
nived,2025-08-02 13:38:09,0.76,4
nived,2025-08-02 13:38:10,0.74,5
nived,2025-08-02 13:38:10,0.68,6
nived,2025-08-02 13:38:11,0.75,1
nived,2025-08-02 13:38:12,1.38,3
nived,2025-08-02 13:38:13,0.78,6
nived,2025-08-02 13:38:15,1.43,4
nived,2025-08-02 13:38:17,2.54,7
nived,2025-08-02 13:38:18,1.2,8
nived,2025-08-02 13:38:19,1.1,4
nived,2025-08-02 13:38:21,1.09,6
nived,2025-08-02 13:38:22,1.09,1
nived,2025-08-02 13:38:23,1.12,2
nived,2025-08-02 13:38:24,0.95,3
nived,2025-08-02 13:38:25,1.07,8
nived,2025-08-02 13:38:26,0.9,5
nived,2025-08-02 13:38:27,0.91,4
nived,2025-08-02 13:38:28,0.95,6
nived,2025-08-02 13:38:29,1.02,9
nived,2025-08-02 13:38:29,0.89,8
nived,2025-08-02 13:38:30,0.81,7
nived,2025-08-02 13:38:31,0.72,6
nived,2025-08-02 13:38:32,0.68,6
nived,2025-08-02 13:38:34,2.04,5
nived,2025-08-02 13:38:35,0.91,2
nived,2025-08-02 13:38:37,1.92,1
nived,2025-08-02 13:38:38,1.81,1
nived,2025-08-02 13:38:39,0.85,2
nived,2025-08-02 13:38:40,0.8,3
nived,2025-08-02 13:38:41,0.88,4
nived,2025-08-02 13:38:42,0.79,5
nived,2025-08-02 13:38:42,0.86,6
nived,2025-08-02 13:38:45,2.04,8
nived,2025-08-02 13:38:45,0.79,9
nived,2025-08-02 13:38:47,1.24,0
nived,2025-08-02 13:38:48,0.96,0
nived,2025-08-02 13:38:48,0.87,0
nived,2025-08-02 13:38:49,0.8,0
nived,2025-08-02 13:38:50,0.85,0
nived,2025-08-02 13:38:51,0.8,0
nived,2025-08-02 13:38:52,0.83,0
nived,2025-08-02 13:38:52,0.81,0
nived,2025-08-02 13:38:53,0.8,0
nived,2025-08-02 13:38:54,1.21,1
nived,2025-08-02 13:38:55,0.86,2
nived,2025-08-02 13:38:56,0.79,3
nived,2025-08-02 13:38:58,1.92,4
nived,2025-08-02 13:38:59,1.21,5
nived,2025-08-02 13:39:01,1.87,6
nived,2025-08-02 13:39:02,1.05,7
nived,2025-08-02 13:39:03,1.0,9
nived,2025-08-02 13:39:04,0.98,8
nived,2025-08-02 13:39:05,0.89,5
nived,2025-08-02 13:39:06,0.98,2
nived,2025-08-02 13:39:07,0.82,6
nived,2025-08-02 13:39:08,1.03,3
nived,2025-08-02 13:39:09,0.81,4
nived,2025-08-02 13:39:10,0.91,1
nived,2025-08-02 13:39:10,0.77,5
nived,2025-08-02 13:39:11,0.96,2
nived,2025-08-02 13:39:13,1.43,7
nived,2025-08-02 13:39:14,0.9,8
nived,2025-08-02 13:39:14,0.84,9
nived,2025-08-02 13:39:15,0.93,8
nived,2025-08-02 13:39:16,0.83,7
nived,2025-08-02 13:39:17,0.96,6
nived,2025-08-02 13:39:19,1.92,4
nived,2025-08-02 13:39:20,0.99,2
nived,2025-08-02 13:39:21,1.17,1
nived,2025-08-02 13:39:26,4.94,3
nived,2025-08-02 13:39:33,6.48,1
nived,2025-08-02 13:39:33,0.75,2
nived,2025-08-02 13:39:35,1.63,4
nived,2025-08-02 13:39:36,0.79,3
nived,2025-08-02 13:39:37,0.82,6
nived,2025-08-02 13:39:38,1.35,2
nived,2025-08-02 13:39:39,0.83,6
nived,2025-08-02 13:39:40,0.79,2
nived,2025-08-02 13:39:41,0.92,6
nived,2025-08-02 13:39:43,2.16,6
nived,2025-08-02 13:39:44,0.78,8
nived,2025-08-02 13:39:45,1.24,6
nived,2025-08-02 13:39:46,1.2,6
nived,2025-08-02 13:39:47,1.04,4
nived,2025-08-02 13:39:48,1.04,8
nived,2025-08-02 13:39:49,1.1,0
nived,2025-08-02 13:39:50,0.93,4
nived,2025-08-02 13:39:51,1.12,9
nived,2025-08-02 13:39:52,0.84,7
nived,2025-08-02 13:39:53,0.87,8
nived,2025-08-02 13:39:54,1.37,5
nived,2025-08-02 13:39:56,1.58,4
nived,2025-08-02 13:40:00,4.53,1
nived,2025-08-02 13:40:01,0.75,2
nived,2025-08-02 13:40:02,0.75,3
nived,2025-08-02 13:40:04,2.02,5
nived,2025-08-02 13:40:05,0.99,6
nived,2025-08-02 13:40:06,0.89,7
nived,2025-08-02 13:40:07,1.18,8
nived,2025-08-02 13:40:08,1.32,9
nived,2025-08-02 13:40:09,0.9,0
nived,2025-08-02 13:40:11,1.43,1
nived,2025-08-02 13:40:13,2.13,1
nived,2025-08-02 13:40:14,0.87,2
nived,2025-08-02 13:40:14,0.82,3
nived,2025-08-02 13:40:15,1.0,4
nived,2025-08-02 13:40:16,0.85,5
nived,2025-08-02 13:40:17,0.93,6
nived,2025-08-02 13:40:18,1.0,6
nived,2025-08-02 13:40:23,4.75,6
nived,2025-08-02 13:40:25,1.95,7
nived,2025-08-02 13:40:26,1.15,8
